,year,region,x_x,y_x,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured,driving_licenses,x_y,y_y
0,2016,Al-Baaha,20.1484058503, 41.4665484892,3618.0,185.0,1227.0,,,
1,2016,Al-Jouf,29.9677445762, 39.5570371172,10212.0,245.0,920.0,9371.0,29.9677445762, 39.5570371172
2,2016,Asir,19.1387847401, 42.941470036,32684.0,983.0,2541.0,,,
3,2016,Eastern Region,23.2883307307, 50.1478302439,101619.0,1113.0,4893.0,,,
4,2016,Hail,27.400845724, 41.4406960508,10199.0,299.0,932.0,54507.0,27.400845724, 41.4406960508
5,2016,Jazan,17.2072313962, 42.6525807422,25873.0,514.0,2259.0,11504.0,17.2072313962, 42.6525807422
6,2016,Madinah,24.927534539, 39.4918237173,14475.0,822.0,4184.0,24540.0,24.927534539, 39.4918237173
7,2016,Makkah,21.628962766, 41.2636898334,134838.0,2243.0,12383.0,136055.0,21.628962766, 41.2636898334
8,2016,Najran,18.4511003068, 46.8688495726,3235.0,173.0,706.0,2153.0,18.4511003068, 46.8688495726
9,2016,Northern Boarder,30.197074783, 41.8171186952,13196.0,193.0,631.0,4958.0,30.197074783, 41.8171186952
10,2016,Qassim,26.1967063704, 43.3429998455,25664.0,397.0,1513.0,,,
11,2016,Riyadh,23.0814341634, 45.5857512766,141736.0,1430.0,4207.0,242851.0,23.0814341634, 45.5857512766
12,2016,Tabouk,27.90165499, 37.2598581394,16031.0,434.0,1724.0,13610.0,27.90165499, 37.2598581394
13,2017,Al-Baaha,20.1484058503, 41.4665484892,1414.0,134.0,1007.0,,,
14,2017,Al-Jouf,29.9677445762, 39.5570371172,10469.0,240.0,862.0,8091.0,29.9677445762, 39.5570371172
15,2017,Asir,19.1387847401, 42.941470036,25245.0,828.0,2368.0,,,
16,2017,Eastern Region,23.2883307307, 50.1478302439,81433.0,963.0,4073.0,,,
17,2017,Hail,27.400845724, 41.4406960508,9379.0,265.0,773.0,22035.0,27.400845724, 41.4406960508
18,2017,Jazan,17.2072313962, 42.6525807422,22161.0,466.0,2207.0,18345.0,17.2072313962, 42.6525807422
19,2017,Madinah,24.927534539, 39.4918237173,16070.0,580.0,2917.0,36165.0,24.927534539, 39.4918237173
20,2017,Makkah,21.628962766, 41.2636898334,145541.0,1641.0,10623.0,142487.0,21.628962766, 41.2636898334
21,2017,Najran,18.4511003068, 46.8688495726,3193.0,194.0,766.0,13825.0,18.4511003068, 46.8688495726
22,2017,Northern Boarder,30.197074783, 41.8171186952,11540.0,112.0,374.0,5280.0,30.197074783, 41.8171186952
23,2017,Qassim,26.1967063704, 43.3429998455,22405.0,319.0,1446.0,,,
24,2017,Riyadh,23.0814341634, 45.5857512766,99925.0,1399.0,4540.0,495307.0,23.0814341634, 45.5857512766
25,2017,Tabouk,27.90165499, 37.2598581394,11713.0,348.0,1243.0,10232.0,27.90165499, 37.2598581394
26,2012,Makkah,,,,,,143954.0,21.628962766, 41.2636898334
27,1994,Makkah,,,,,,75349.0,21.628962766, 41.2636898334
28,1998,Makkah,,,,,,86082.0,21.628962766, 41.2636898334
29,2004,Makkah,,,,,,86636.0,21.628962766, 41.2636898334
30,2005,Makkah,,,,,,65099.0,21.628962766, 41.2636898334
31,2008,Makkah,,,,,,77013.0,21.628962766, 41.2636898334
32,2014,Madinah,,,,,,31447.0,24.927534539, 39.4918237173
33,2013,Madinah,,,,,,28513.0,24.927534539, 39.4918237173
34,2012,Madinah,,,,,,14459.0,24.927534539, 39.4918237173
35,1994,Madinah,,,,,,3767.0,24.927534539, 39.4918237173
36,1998,Madinah,,,,,,13020.0,24.927534539, 39.4918237173
37,2000,Madinah,,,,,,9562.0,24.927534539, 39.4918237173
38,2007,Madinah,,,,,,12174.0,24.927534539, 39.4918237173
39,2004,Madinah,,,,,,10556.0,24.927534539, 39.4918237173
40,1995,Al-Qaseem,,,,,,49690.0,26.1967063704, 43.3429998455
41,1996,Al-Qaseem,,,,,,42693.0,26.1967063704, 43.3429998455
42,2015,Eastern,,,,,,135752.0,23.2883307307, 50.1478302439
43,2015,Assir,,,,,,38567.0,19.1387847401, 42.941470036
44,1995,Assir,,,,,,4889.0,19.1387847401, 42.941470036
45,1996,Assir,,,,,,3319.0,19.1387847401, 42.941470036
46,1998,Assir,,,,,,13220.0,19.1387847401, 42.941470036
47,2010,Tabouk,,,,,,10345.0,27.90165499, 37.2598581394
48,2013,Tabouk,,,,,,12848.0,27.90165499, 37.2598581394
49,1996,Tabouk,,,,,,2263.0,27.90165499, 37.2598581394
50,1998,Tabouk,,,,,,6823.0,27.90165499, 37.2598581394
51,2001,Tabouk,,,,,,6344.0,27.90165499, 37.2598581394
52,2007,Tabouk,,,,,,11045.0,27.90165499, 37.2598581394
53,2007,Hail,,,,,,4021.0,27.400845724, 41.4406960508
54,2004,Hail,,,,,,8656.0,27.400845724, 41.4406960508
55,2005,Hail,,,,,,16247.0,27.400845724, 41.4406960508
56,2009,Hail,,,,,,7282.0,27.400845724, 41.4406960508
57,2012,Northern Boarder,,,,,,3706.0,30.197074783, 41.8171186952
58,1993,Northern Boarder,,,,,,1510.0,30.197074783, 41.8171186952
59,2000,Northern Boarder,,,,,,2894.0,30.197074783, 41.8171186952
60,2005,Northern Boarder,,,,,,1804.0,30.197074783, 41.8171186952
61,2010,Jazan,,,,,,12270.0,17.2072313962, 42.6525807422
62,1993,Jazan,,,,,,6009.0,17.2072313962, 42.6525807422
63,1997,Jazan,,,,,,5695.0,17.2072313962, 42.6525807422
64,2000,Jazan,,,,,,5678.0,17.2072313962, 42.6525807422
65,2001,Jazan,,,,,,10631.0,17.2072313962, 42.6525807422
66,2008,Jazan,,,,,,11346.0,17.2072313962, 42.6525807422
67,2010,Najran,,,,,,6360.0,18.4511003068, 46.8688495726
68,2013,Najran,,,,,,8996.0,18.4511003068, 46.8688495726
69,1995,Najran,,,,,,3268.0,18.4511003068, 46.8688495726
70,1999,Najran,,,,,,3959.0,18.4511003068, 46.8688495726
71,2003,Najran,,,,,,4443.0,18.4511003068, 46.8688495726
72,2009,Najran,,,,,,6771.0,18.4511003068, 46.8688495726
73,2015,Al-Baha,,,,,,4856.0,20.1484058503, 41.4665484892
74,2016,Al-Baha,,,,,,4614.0,20.1484058503, 41.4665484892
75,2011,Al-Baha,,,,,,6450.0,20.1484058503, 41.4665484892
76,1994,Al-Baha,,,,,,2729.0,20.1484058503, 41.4665484892
77,1996,Al-Baha,,,,,,1468.0,20.1484058503, 41.4665484892
78,2010,Al-Jouf,,,,,,10937.0,29.9677445762, 39.5570371172
79,1996,Al-Jouf,,,,,,2518.0,29.9677445762, 39.5570371172
80,2000,Al-Jouf,,,,,,4666.0,29.9677445762, 39.5570371172
81,2001,Al-Jouf,,,,,,4756.0,29.9677445762, 39.5570371172
82,2011,Riyadh,,,,,,27772.0,23.0814341634, 45.5857512766
83,2013,Riyadh,,,,,,165994.0,23.0814341634, 45.5857512766
84,1999,Riyadh,,,,,,100291.0,23.0814341634, 45.5857512766
85,2005,Riyadh,,,,,,23245.0,23.0814341634, 45.5857512766
86,2015,Makkah,,,,,,157389.0,21.628962766, 41.2636898334
87,2013,Makkah,,,,,,131108.0,21.628962766, 41.2636898334
88,1997,Riyadh,,,,,,92145.0,23.0814341634, 45.5857512766
89,2001,Riyadh,,,,,,13090.0,23.0814341634, 45.5857512766
90,2014,Makkah,,,,,,149234.0,21.628962766, 41.2636898334
91,2010,Makkah,,,,,,113531.0,21.628962766, 41.2636898334
92,1997,Makkah,,,,,,76623.0,21.628962766, 41.2636898334
93,1999,Makkah,,,,,,103535.0,21.628962766, 41.2636898334
94,2000,Makkah,,,,,,87053.0,21.628962766, 41.2636898334
95,2006,Makkah,,,,,,66967.0,21.628962766, 41.2636898334
96,2009,Makkah,,,,,,112045.0,21.628962766, 41.2636898334
97,2010,Madinah,,,,,,15045.0,24.927534539, 39.4918237173
98,1995,Madinah,,,,,,4155.0,24.927534539, 39.4918237173
99,1996,Madinah,,,,,,3425.0,24.927534539, 39.4918237173
100,1999,Madinah,,,,,,11108.0,24.927534539, 39.4918237173
101,2003,Madinah,,,,,,12920.0,24.927534539, 39.4918237173
102,2015,Al-Qaseem,,,,,,13631.0,26.1967063704, 43.3429998455
103,2014,Al-Qaseem,,,,,,29113.0,26.1967063704, 43.3429998455
104,2017,Al-Qaseem,,,,,,6318.0,26.1967063704, 43.3429998455
105,2010,Al-Qaseem,,,,,,36737.0,26.1967063704, 43.3429998455
106,2013,Al-Qaseem,,,,,,17889.0,26.1967063704, 43.3429998455
107,1994,Al-Qaseem,,,,,,68916.0,26.1967063704, 43.3429998455
108,2003,Al-Qaseem,,,,,,10666.0,26.1967063704, 43.3429998455
109,2000,Al-Qaseem,,,,,,12226.0,26.1967063704, 43.3429998455
110,2006,Al-Qaseem,,,,,,12142.0,26.1967063704, 43.3429998455
111,2007,Al-Qaseem,,,,,,25174.0,26.1967063704, 43.3429998455
112,2017,Eastern,,,,,,126816.0,23.2883307307, 50.1478302439
113,2011,Eastern,,,,,,151087.0,23.2883307307, 50.1478302439
114,2012,Eastern,,,,,,129971.0,23.2883307307, 50.1478302439
115,2012,Assir,,,,,,23136.0,19.1387847401, 42.941470036
116,1997,Assir,,,,,,12204.0,19.1387847401, 42.941470036
117,2003,Assir,,,,,,15693.0,19.1387847401, 42.941470036
118,2008,Assir,,,,,,18800.0,19.1387847401, 42.941470036
119,2011,Tabouk,,,,,,12820.0,27.90165499, 37.2598581394
120,1994,Tabouk,,,,,,3282.0,27.90165499, 37.2598581394
121,2003,Tabouk,,,,,,9873.0,27.90165499, 37.2598581394
122,2008,Tabouk,,,,,,14928.0,27.90165499, 37.2598581394
123,2009,Tabouk,,,,,,9424.0,27.90165499, 37.2598581394
124,2014,Hail,,,,,,10417.0,27.400845724, 41.4406960508
125,2010,Hail,,,,,,7637.0,27.400845724, 41.4406960508
126,1995,Hail,,,,,,9735.0,27.400845724, 41.4406960508
127,2002,Hail,,,,,,5070.0,27.400845724, 41.4406960508
